# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	кадило	ru-RU	
	каждение	ru-RU	
	казначей	ru-RU	
	календарь церковный	ru-RU	
	камилавка	ru-RU	
	кандило	ru-RU	
	канон	ru-RU	
	канон библейский	ru-RU	
	канон великий прп. Андрея Критского	ru-RU	
	канон гимнографический	ru-RU	
	канон евхаристический	ru-RU	
	канон иконописный	ru-RU	
	канонизация	ru-RU	
	каноническая территория	ru-RU	
	канонические препятствия к рукоположению	ru-RU	
	канонические препятствия к церковному браку	ru-RU	
	канонический возраст	ru-RU	
	каноническое общение	ru-RU	
	канонник	ru-RU	
	каноны церковные	ru-RU	
	канун	ru-RU	
	катавасия	ru-RU	
	катакомбы	ru-RU	
	катехизация	ru-RU	
	катехизис	ru-RU	
	катехумен	ru-RU	
	кафедра	ru-RU	
	кафедральный собор	ru-RU	
	кафизма	ru-RU	
	кафоличность	ru-RU	
	келарь	ru-RU	
	келейник	ru-RU	
	келья	ru-RU	
	кеносис	ru-RU	
	керигма	ru-RU	
	киворий	ru-RU	
	киновит	ru-RU	
	кинония	ru-RU	
	киот	ru-RU	
	кирие элейсон	ru-RU	
	кириопасха	ru-RU	
	кладбище	ru-RU	
	клир	ru-RU	
	клирос	ru-RU	
	клобук	ru-RU	
	клятва	ru-RU	
	книга жизни	ru-RU	
	книга молебных пений	ru-RU	
	книга правил	ru-RU	
	ковчег	ru-RU	
	колесницы освящение	ru-RU	
	коливо	ru-RU	
	колокольный звон	ru-RU	
	кондак	ru-RU	
	конец света	ru-RU	
	копие	ru-RU	
	кормчая книга	ru-RU	
	кощунство	ru-RU	
	крест	ru-RU	
	крест наперсный	ru-RU	
	крест напрестольный	ru-RU	
	крест нательный	ru-RU	
	крест поклонный	ru-RU	
	крестное знамение	ru-RU	
	крёстный	ru-RU	
	крестный ход	ru-RU	
	крещение	ru-RU	
	Крещение Руси	ru-RU	
	крещенские купания	ru-RU	
	кровь	ru-RU	
	кропило	ru-RU	
	ктитор	ru-RU	
	куколь	ru-RU	
	купель	ru-RU	
	купина неопалимая	ru-RU	
	кутия	ru-RU	
	лавра	ru-RU	
	ладан	ru-RU	
	ладанка	ru-RU	
	лампада	ru-RU	
	латынь	ru-RU	
	левиты	ru-RU	
	лжепророки	ru-RU	
	лжесмирение	ru-RU	
	лжеучение	ru-RU	
	лжица	ru-RU	
	лик	ru-RU	
	лик Божий	ru-RU	
	лития	ru-RU	
	литургика	ru-RU	
	литургия	ru-RU	
	литургия Преждеосвященных Даров	ru-RU	
	лицемерие	ru-RU	
	личность	ru-RU	
	логос	ru-RU	
	лоно Авраамово	ru-RU	
	любовь	ru-RU	
	любовь к врагам	ru-RU	
	мандорла	ru-RU	
	мариология	ru-RU	
	мартиролог	ru-RU	
	масленица	ru-RU	
	масло церковное	ru-RU	
	мафорий	ru-RU	
	медитация	ru-RU	
	мерная икона	ru-RU	
	мессианские пророчества	ru-RU	
	Мессия	ru-RU	
	местоблюститель патриаршего престола	ru-RU	
	месяцеслов	ru-RU	
	метание	ru-RU	
	милосердие	ru-RU	
	милостыня	ru-RU	
	минеи-четьи	ru-RU	
	минея	ru-RU	
	минологий	ru-RU	
	мир	ru-RU	
	мир духовный	ru-RU	
	мирница	ru-RU	
	миро	ru-RU	
	мироздание	ru-RU	
	мироносицы	ru-RU	
	миропомазание	ru-RU	
	миротворец	ru-RU	
	миротворчество	ru-RU	
	мироточение	ru-RU	
	миряне	ru-RU	
	миссионерство	ru-RU	
	мистика христианская	ru-RU	
	митра	ru-RU	
	митрополит	ru-RU	
	младостарчество	ru-RU	
	многолетие	ru-RU	
	молебен	ru-RU	
	молитва	ru-RU	
	молитва Господня	ru-RU	
	молитва Иисусова	ru-RU	
	молитва непрестанная	ru-RU	
	молитва по соглашению	ru-RU	
	молитва св. Ефрема Сирина	ru-RU	
	молитвенное правило	ru-RU	
	молитвослов	ru-RU	
	молитвы тайные	ru-RU	
	монастырь	ru-RU	
	монашество	ru-RU	
	монотеизм	ru-RU	
	монофелитство	ru-RU	
	монофизитство	ru-RU	
	мощевик	ru-RU	
	мощи святых	ru-RU	
	мученик	ru-RU	
	мытарства	ru-RU	
	мытарь	ru-RU	
