# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	набедренник	ru-RU	
	навечерие	ru-RU	
	Нагорная проповедь	ru-RU	
	наказание	ru-RU	
	наместник	ru-RU	
	наперсный крест	ru-RU	
	наречение имени	ru-RU	
	настоятель	ru-RU	
	начало обычное	ru-RU	
	небесная литургия	ru-RU	
	небесный Иерусалим	ru-RU	
	небо	ru-RU	
	неделя	ru-RU	
	неофит	ru-RU	
	нетварные энергии	ru-RU	
	нетварный свет	ru-RU	
	неусыпаемая Псалтирь	ru-RU	
	нимб	ru-RU	
	нищета духовная	ru-RU	
	новомученик	ru-RU	
	новоначальный	ru-RU	
	новопреставленный	ru-RU	
	новый год	ru-RU	
	Новый Завет	ru-RU	
	Новый Израиль	ru-RU	
	новый человек	ru-RU	
	Ной	ru-RU	
	номоканон	ru-RU	
	обедня	ru-RU	
	обет	ru-RU	
	обетование	ru-RU	
	обитель	ru-RU	
	облачение	ru-RU	
	обновление иконы	ru-RU	
	обожение	ru-RU	
	образ и подобие Божии	ru-RU	
	образок	ru-RU	
	обращение	ru-RU	
	обрезание	ru-RU	
	обручение	ru-RU	
	обряд	ru-RU	
	обрядоверие	ru-RU	
	община	ru-RU	
	обыденный храм	ru-RU	
	оглашение	ru-RU	
	оглашенные	ru-RU	
	одержимость	ru-RU	
	окормление духовное	ru-RU	
	окружное послание	ru-RU	
	октоих	ru-RU	
	омофор	ru-RU	
	оправдание	ru-RU	
	опресноки	ru-RU	
	орарь	ru-RU	
	орлец	ru-RU	
	орос	ru-RU	
	освящение	ru-RU	
	освящение вещей и продуктов	ru-RU	
	освящение автомобиля	ru-RU	
	освящение дома	ru-RU	
	освящение иконы	ru-RU	
	освящение храма	ru-RU	
	осквернение	ru-RU	
	осмогласие	ru-RU	
	основное богословие	ru-RU	
	отдание праздника	ru-RU	
	отец	ru-RU	
	откровение Божественное	ru-RU	
	откровение помыслов	ru-RU	
	отлучение от Церкви	ru-RU	
	отпевание	ru-RU	
	отпуст	ru-RU	
	отречение от мира	ru-RU	
	отходная	ru-RU	
	отцы и учители Церкви	ru-RU	
	Отче наш	ru-RU	
	отчитка	ru-RU	
	очистительные молитвы	ru-RU	
	Павел апостол	ru-RU	
	падение	ru-RU	
	падшие духи	ru-RU	
	палица	ru-RU	
	паломничество	ru-RU	
	Панагия	ru-RU	
	паникадило	ru-RU	
	панихида	ru-RU	
	паперть	ru-RU	
	Параклит	ru-RU	
	параман	ru-RU	
	парастас	ru-RU	
	паремия	ru-RU	
