# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	Ева	ru-RU	
	Евангелие	ru-RU	
	евангелисты	ru-RU	
	евреи	ru-RU	
	еврейский язык	ru-RU	
	евхаристический пост	ru-RU	
	евхаристия	ru-RU	
	евхаристология	ru-RU	
	евхологий	ru-RU	
	евхологион	ru-RU	
	Единородный Сын	ru-RU	
	единосущие	ru-RU	
	ектения	ru-RU	
	елей	ru-RU	
	елеопомазание	ru-RU	
	елеосвящение	ru-RU	
	епархия	ru-RU	
	епископ	ru-RU	
	епитимия	ru-RU	
	епитрахиль	ru-RU	
	ересь	ru-RU	
	ерминия	ru-RU	
	жертва	ru-RU	
	жертвенник	ru-RU	
	жертвенность	ru-RU	
	жестокосердие	ru-RU	
	жития святых	ru-RU	
	жребий	ru-RU	
	завеса церковная	ru-RU	
	завет	ru-RU	
	заговение	ru-RU	
	загробная жизнь	ru-RU	
	задостойник	ru-RU	
	закон Божий	ru-RU	
	закон Моисея	ru-RU	
	законы духовные	ru-RU	
	законы природы	ru-RU	
	замысел Божий	ru-RU	
	запев	ru-RU	
	записка церковная	ru-RU	
	заповеди Божии	ru-RU	
	запретительные молитвы	ru-RU	
	затворник	ru-RU	
	заутреня	ru-RU	
	зачало	ru-RU	
	звездица	ru-RU	
	звон колокольный	ru-RU	
	звонница	ru-RU	
	знамение	ru-RU	
	знаменное пение	ru-RU	
	иго Христово	ru-RU	
	игумен	ru-RU	
	игумения	ru-RU	
	идол	ru-RU	
	идолопоклонство	ru-RU	
	Иегова	ru-RU	
	иерарх	ru-RU	
	иерархия	ru-RU	
	иерей	ru-RU	
	иеродиакон	ru-RU	
	иеромонах	ru-RU	
	Иерусалим	ru-RU	
	иерусалимский храм	ru-RU	
	избиение младенцев	ru-RU	
	извержение из сана	ru-RU	
	известие учительное	ru-RU	
	извод	ru-RU	
	изобразительны	ru-RU	
	Израиль	ru-RU	
	Иисус Христос	ru-RU	
	Иисусова молитва	ru-RU	
	икона	ru-RU	
	иконография	ru-RU	
	икономия	ru-RU	
	иконопочитание	ru-RU	
	иконостас	ru-RU	
	икос	ru-RU	
	илитон	ru-RU	
	именины и христианские имена	ru-RU	
	имманентность Бога	ru-RU	
	имя	ru-RU	
	имя Божие и божественные имена	ru-RU	
	имяславие	ru-RU	
	индикт	ru-RU	
	индиктион	ru-RU	
	инок	ru-RU	
	инославие	ru-RU	
	интронизация	ru-RU	
	ипакои	ru-RU	
	иподиакон	ru-RU	
	ипостасное соединение	ru-RU	
	ипостасные свойства	ru-RU	
	ипостась	ru-RU	
	ирмологий	ru-RU	
	ирмос	ru-RU	
	исагогика	ru-RU	
	исихазм	ru-RU	
	искажения христианства	ru-RU	
	искупление	ru-RU	
	искус монашеский	ru-RU	
	искусство церковное	ru-RU	
	искушение	ru-RU	
	ислам	ru-RU	
	исповедание	ru-RU	
	исповедание веры	ru-RU	
	исповедник	ru-RU	
	исповедь	ru-RU	
	истина	ru-RU	
	история Церкви	ru-RU	
	исцеление	ru-RU	
	Иуда Искариот	ru-RU	
	иудаизм	ru-RU	
	иудеи	ru-RU	
