# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	вавилон	ru-RU	
	ваия	ru-RU	
	вдова	ru-RU	
	ведение	ru-RU	
	великие постовые поклоны	ru-RU	
	великие праздники	ru-RU	
	великий канон свт. Андрея Критского	ru-RU	
	великий пост	ru-RU	
	великомученики	ru-RU	
	величание	ru-RU	
	венец славы	ru-RU	
	венец творения	ru-RU	
	венцы брачные	ru-RU	
	венчание в церкви	ru-RU	
	венчик погребальный	ru-RU	
	вера	ru-RU	
	вервие	ru-RU	
	вериги	ru-RU	
	верные	ru-RU	
	вероизложение Церкви	ru-RU	
	вероучение	ru-RU	
	ветхий днями	ru-RU	
	Ветхий Завет	ru-RU	
	ветхий человек	ru-RU	
	вечерня	ru-RU	
	вечная жизнь	ru-RU	
	вечные муки	ru-RU	
	взаимопроникновение	ru-RU	
	видение	ru-RU	
	византия	ru-RU	
	викарий	ru-RU	
	вино	ru-RU	
	вифлеемские младенцы	ru-RU	
	владыка	ru-RU	
	вода святая	ru-RU	
	водоосвящение	ru-RU	
	водосвятие	ru-RU	
	возглавление	ru-RU	
	возглас	ru-RU	
	воздаяние	ru-RU	
	воздержание	ru-RU	
	воздеяние рук	ru-RU	
	воздух	ru-RU	
	Вознесение Господне	ru-RU	
	возраст духовный	ru-RU	
	воипостазирование	ru-RU	
	воплощение	ru-RU	
	воскресение мертвых	ru-RU	
	Воскресение Христово	ru-RU	
	воскресная школа	ru-RU	
	восприемники	ru-RU	
	воцерковление	ru-RU	
	вседержитель	ru-RU	
	вселенная	ru-RU	
	вселенские соборы	ru-RU	
	всемирный потоп	ru-RU	
	всенощное бдение	ru-RU	
	Второе Пришествие Христа	ru-RU	
	вход на богослужении	ru-RU	
	входной стих	ru-RU	
	геенна	ru-RU	
	герменевтика	ru-RU	
	гимнография	ru-RU	
	глава	ru-RU	
	Глава Церкви	ru-RU	
	глас	ru-RU	
	глоссолалия	ru-RU	
	гнев	ru-RU	
	Гнев Божий	ru-RU	
	гностицизм	ru-RU	
	говение	ru-RU	
	год церковный	ru-RU	
	голгофа	ru-RU	
	гомилетика	ru-RU	
	гомилия	ru-RU	
	гонения на христиан	ru-RU	
	горнее место	ru-RU	
	горний мир	ru-RU	
	Господи помилуй	ru-RU	
	Господь	ru-RU	
	грамота	ru-RU	
	границы Церкви	ru-RU	
	грех	ru-RU	
	грех невольный	ru-RU	
	грех первородный	ru-RU	
	грех смертный	ru-RU	
	грехопадение	ru-RU	
	греческий язык	ru-RU	
	Гроб Господень	ru-RU	
	дар	ru-RU	
	дар слёз	ru-RU	
	дароносица	ru-RU	
	дарохранительница	ru-RU	
	дары Святого Духа	ru-RU	
	дары святые	ru-RU	
	двунадесятые праздники	ru-RU	
	дева	ru-RU	
	девственность	ru-RU	
	девятины	ru-RU	
	деисис	ru-RU	
	декалог	ru-RU	
	делание	ru-RU	
	демон	ru-RU	
	денница	ru-RU	
	день ангела	ru-RU	
	день рождения	ru-RU	
	диакон	ru-RU	
	диакониса	ru-RU	
	диакония	ru-RU	
	дикирий	ru-RU	
	диптих	ru-RU	
	дискос	ru-RU	
	дни поминовения усопших	ru-RU	
	дни творения	ru-RU	
	добродетель	ru-RU	
	добротолюбие	ru-RU	
	догматик	ru-RU	
	догматическое богословие	ru-RU	
	догматы	ru-RU	
	домовая церковь	ru-RU	
	домостроительство Божественное	ru-RU	
	достойно есть	ru-RU	
	древо жизни	ru-RU	
	древо крестное	ru-RU	
	древо познания добра и зла	ru-RU	
	Дух Святой	ru-RU	
	духи падшие	ru-RU	
	духовенство	ru-RU	
	духовная борьба	ru-RU	
	духовная жизнь	ru-RU	
	духовная зрелость	ru-RU	
	духовник	ru-RU	
	духовное зрение	ru-RU	
	духовное расслабление	ru-RU	
	духовные законы	ru-RU	
	духовный возраст	ru-RU	
	духовный дневник	ru-RU	
	духовный мир	ru-RU	
	духоносный	ru-RU	
	душа	ru-RU	
	душевная жизнь	ru-RU	
	душепопечение	ru-RU	
	дьявол	ru-RU	
