# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	раб	ru-RU	
	раб Божий	ru-RU	
	радоница	ru-RU	
	радость	ru-RU	
	развод	ru-RU	
	разговение	ru-RU	
	различение духов	ru-RU	
	разрешительная молитва	ru-RU	
	рай	ru-RU	
	райские обители	ru-RU	
	рака	ru-RU	
	раскаяние	ru-RU	
	раскол церковный	ru-RU	
	распятие	ru-RU	
	расцерковление	ru-RU	
	реинкарнация	ru-RU	
	религия	ru-RU	
	решимость	ru-RU	
	ризница	ru-RU	
	ризничий	ru-RU	
	рипиды	ru-RU	
	Рождественский пост	ru-RU	
	Рождество Христово	ru-RU	
	рукоположение	ru-RU	
	Русская Православная Церковь	ru-RU	
	ряса	ru-RU	
	рясофор	ru-RU	
	Саваоф	ru-RU	
	саккос	ru-RU	
	сакраментология	ru-RU	
	самоотречение	ru-RU	
	самопознание	ru-RU	
	самоукорение	ru-RU	
	сан священный	ru-RU	
	сатана	ru-RU	
	свадьба	ru-RU	
	Свете Тихий	ru-RU	
	светилен	ru-RU	
	светильничные молитвы	ru-RU	
	светлая седмица	ru-RU	
	свеча церковная	ru-RU	
	свобода	ru-RU	
	Святая вода	ru-RU	
	Святая Земля	ru-RU	
	Святая Русь	ru-RU	
	Святая Троица	ru-RU	
	святитель	ru-RU	
	святки	ru-RU	
	Святой Дух	ru-RU	
	святость	ru-RU	
	святцы	ru-RU	
	святые	ru-RU	
	святые места	ru-RU	
	святые отцы	ru-RU	
	Святые Таины	ru-RU	
	святыня	ru-RU	
	Святых Даров Пресуществление	ru-RU	
	Священная история	ru-RU	
	священник	ru-RU	
	священнодействие	ru-RU	
	Священное Писание	ru-RU	
	Священное Предание	ru-RU	
	священноинок	ru-RU	
	священноисповедники	ru-RU	
	священноначалие	ru-RU	
	священнослужители	ru-RU	
	священства таинство	ru-RU	
	священство	ru-RU	
	седален	ru-RU	
	седмица	ru-RU	
	секта	ru-RU	
	семинария	ru-RU	
	семья	ru-RU	
	семья христианская	ru-RU	
	сень	ru-RU	
	Септуагинта	ru-RU	
	серафимы	ru-RU	
	сердце	ru-RU	
	символ	ru-RU	
	Символ веры	ru-RU	
	синагога	ru-RU	
	Синай	ru-RU	
	синаксарь	ru-RU	
	синергия	ru-RU	
	синод	ru-RU	
	синодик	ru-RU	
	синоптики	ru-RU	
	Сион	ru-RU	
	скиния	ru-RU	
	скит	ru-RU	
	скромность	ru-RU	
	скуфья	ru-RU	
	слава	ru-RU	
	слава Божия	ru-RU	
	славословие	ru-RU	
	следованная псалтирь	ru-RU	
	слово Божие	ru-RU	
	служба церковная	ru-RU	
	служебник	ru-RU	
	служение	ru-RU	
	смерть	ru-RU	
	смирение	ru-RU	
	смиренномудрие	ru-RU	
	смысл жизни	ru-RU	
	собор	ru-RU	
	собор апостольский	ru-RU	
	собор святых	ru-RU	
	собор церковный	ru-RU	
	соборное служение	ru-RU	
	соборность	ru-RU	
	соборные послания	ru-RU	
	соборование	ru-RU	
	совесть	ru-RU	
	созерцание	ru-RU	
	солея	ru-RU	
	сороковины	ru-RU	
	сорокоуст	ru-RU	
	сострадание	ru-RU	
	сосуды священные	ru-RU	
	сотериология	ru-RU	
	сошествие во ад	ru-RU	
	Спас	ru-RU	
	спасение	ru-RU	
	Спаситель	ru-RU	
	список иконы	ru-RU	
	сплошная седмица	ru-RU	
	справедливость	ru-RU	
	Сретение Господне	ru-RU	
	староста церковный	ru-RU	
	старость	ru-RU	
	стасидия	ru-RU	
	степенны	ru-RU	
	стихарь	ru-RU	
	стихира	ru-RU	
	стоглав	ru-RU	
	столпник	ru-RU	
	страдания	ru-RU	
	странничество	ru-RU	
	странноприимство	ru-RU	
	Страсти Христовы	ru-RU	
	Страстная седмица	ru-RU	
	страстотерпцы	ru-RU	
	страсть	ru-RU	
	страх	ru-RU	
	страх Божий	ru-RU	
	Страшный Суд	ru-RU	
	стяжание	ru-RU	
	суббота	ru-RU	
	Судьи израильские	ru-RU	
	сутки церковные	ru-RU	
	сухоядение	ru-RU	
	сущность	ru-RU	
	схизма	ru-RU	
	схима	ru-RU	
	схимонах	ru-RU	
	схоластика	ru-RU	
	счастье	ru-RU	
	Сын Божий	ru-RU	
	Сын Человеческий	ru-RU	
	сырная седмица	ru-RU	
	сыропустная неделя	ru-RU	
	Таинства Церкви	ru-RU	
	тайна исповеди	ru-RU	
	Тайная вечеря	ru-RU	
	тайные молитвы	ru-RU	
	таинство	ru-RU	
	творение из ничего	ru-RU	
	творчество	ru-RU	
	теизм	ru-RU	
	тело	ru-RU	
	Тело и Кровь Христовы	ru-RU	
	Тело Христово	ru-RU	
	теодицея	ru-RU	
	теократия	ru-RU	
	теология	ru-RU	
	теофания	ru-RU	
	терпение	ru-RU	
	тихость	ru-RU	
	типикон	ru-RU	
	титло	ru-RU	
	толерантность	ru-RU	
	толкование	ru-RU	
	томос	ru-RU	
	торговля в храме	ru-RU	
	традиция	ru-RU	
	трансцендентность Бога	ru-RU	
	трапеза	ru-RU	
	требник	ru-RU	
	требы	ru-RU	
	трезвение	ru-RU	
	трепет	ru-RU	
	третины	ru-RU	
	трикирий	ru-RU	
	Триодь	ru-RU	
	трипеснец	ru-RU	
	Трисвятое	ru-RU	
	Троица Святая	ru-RU	
	троичен	ru-RU	
	тропарь	ru-RU	
	труд	ru-RU	
	трудолюбие	ru-RU	
